precision;eps;det;left;middle;right
float64;0.0;mat_det_2x2;49984;4;50012
float32;0.0;mat_det_2x2;0;100000;0
float64;0.0;mat_det_2x2_lib;49983;4;50013
float32;0.0;mat_det_2x2_lib;6628;86608;6764
float64;0.0;mat_det_3x3;49986;0;50014
float32;0.0;mat_det_3x3;49986;0;50014
float64;0.0;mat_det_3x3_lib;49986;0;50014
float32;0.0;mat_det_3x3_lib;49986;0;50014
float64;1e-14;mat_det_2x2;49984;4;50012
float32;1e-14;mat_det_2x2;0;100000;0
float64;1e-14;mat_det_2x2_lib;49983;4;50013
float32;1e-14;mat_det_2x2_lib;6628;86608;6764
float64;1e-14;mat_det_3x3;49986;0;50014
float32;1e-14;mat_det_3x3;49986;0;50014
float64;1e-14;mat_det_3x3_lib;49986;0;50014
float32;1e-14;mat_det_3x3_lib;49986;0;50014
float64;1e-12;mat_det_2x2;49984;4;50012
float32;1e-12;mat_det_2x2;0;100000;0
float64;1e-12;mat_det_2x2_lib;49983;4;50013
float32;1e-12;mat_det_2x2_lib;6628;86608;6764
float64;1e-12;mat_det_3x3;49986;0;50014
float32;1e-12;mat_det_3x3;49986;0;50014
float64;1e-12;mat_det_3x3_lib;49986;0;50014
float32;1e-12;mat_det_3x3_lib;49986;0;50014
float64;1e-10;mat_det_2x2;49984;4;50012
float32;1e-10;mat_det_2x2;0;100000;0
float64;1e-10;mat_det_2x2_lib;49983;4;50013
float32;1e-10;mat_det_2x2_lib;6628;86608;6764
float64;1e-10;mat_det_3x3;49986;0;50014
float32;1e-10;mat_det_3x3;49986;0;50014
float64;1e-10;mat_det_3x3_lib;49986;0;50014
float32;1e-10;mat_det_3x3_lib;49986;0;50014
float64;1e-08;mat_det_2x2;49984;4;50012
float32;1e-08;mat_det_2x2;0;100000;0
float64;1e-08;mat_det_2x2_lib;49983;4;50013
float32;1e-08;mat_det_2x2_lib;6628;86608;6764
float64;1e-08;mat_det_3x3;49986;0;50014
float32;1e-08;mat_det_3x3;49986;0;50014
float64;1e-08;mat_det_3x3_lib;49986;0;50014
float32;1e-08;mat_det_3x3_lib;49986;0;50014
