precision;eps;det;left;middle;right
float64;0.0;mat_det_2x2;148;697;155
float32;0.0;mat_det_2x2;172;651;177
float64;0.0;mat_det_2x2_lib;158;679;163
float32;0.0;mat_det_2x2_lib;509;0;491
float64;0.0;mat_det_3x3;261;341;398
float32;0.0;mat_det_3x3;326;390;284
float64;0.0;mat_det_3x3_lib;370;326;304
float32;0.0;mat_det_3x3_lib;500;58;442
float64;1e-14;mat_det_2x2;142;708;150
float32;1e-14;mat_det_2x2;172;651;177
float64;1e-14;mat_det_2x2_lib;151;694;155
float32;1e-14;mat_det_2x2_lib;509;0;491
float64;1e-14;mat_det_3x3;0;1000;0
float32;1e-14;mat_det_3x3;326;390;284
float64;1e-14;mat_det_3x3_lib;41;916;43
float32;1e-14;mat_det_3x3_lib;441;161;398
float64;1e-12;mat_det_2x2;88;821;91
float32;1e-12;mat_det_2x2;172;651;177
float64;1e-12;mat_det_2x2_lib;114;783;103
float32;1e-12;mat_det_2x2_lib;509;0;491
float64;1e-12;mat_det_3x3;0;1000;0
float32;1e-12;mat_det_3x3;326;390;284
float64;1e-12;mat_det_3x3_lib;0;1000;0
float32;1e-12;mat_det_3x3_lib;431;179;390
float64;1e-10;mat_det_2x2;0;1000;0
float32;1e-10;mat_det_2x2;172;651;177
float64;1e-10;mat_det_2x2_lib;0;1000;0
float32;1e-10;mat_det_2x2_lib;509;0;491
float64;1e-10;mat_det_3x3;0;1000;0
float32;1e-10;mat_det_3x3;326;390;284
float64;1e-10;mat_det_3x3_lib;0;1000;0
float32;1e-10;mat_det_3x3_lib;431;179;390
float64;1e-08;mat_det_2x2;0;1000;0
float32;1e-08;mat_det_2x2;172;652;176
float64;1e-08;mat_det_2x2_lib;0;1000;0
float32;1e-08;mat_det_2x2_lib;509;3;488
float64;1e-08;mat_det_3x3;0;1000;0
float32;1e-08;mat_det_3x3;325;392;283
float64;1e-08;mat_det_3x3_lib;0;1000;0
float32;1e-08;mat_det_3x3_lib;431;182;387
